# AK135 Model From Herrmann's Website
# This is the full version of the model that MM1D reads
# Depth(km) Vp(km/s) Vs(km/s) Rho(g/cm^3) Qs	Radial_Anisotropy
0  5.8000 3.4600 2.7200 99999999 0
20 5.8000 3.4600 2.7200 99999999 0
20 6.5000 3.8500 2.9200 99999999 0
35 6.5000 3.8500 2.9200 99999999 0
35 8.0425 4.4850 3.3326 99999999 0
77.5 8.0425 4.4850 3.3326 99999999 0
77.5 8.0475 4.4950 3.3584 99999999 0
120 8.0475 4.4950 3.3584 99999999 0
120 8.1123 4.5045 3.3990 99999999 0
165 8.1123 4.5045 3.3990 99999999 0
165 8.2374 4.5137 3.3477 99999999 0
210 8.2374 4.5137 3.3477 99999999 0
210 8.3905 4.5634 3.3453 99999999 0
260 8.3905 4.5634 3.3453 99999999 0
260 8.5726 4.6525 3.3886 99999999 0
310 8.5726 4.6525 3.3886 99999999 0
310 8.7553 4.7394 3.4344 99999999 0
360 8.7553 4.7394 3.4344 99999999 0
360 8.9380 4.8263 3.4822 99999999 0
410 8.9380 4.8263 3.4822 99999999 0
410 9.4433 5.1330 3.9295 99999999 0
460 9.4433 5.1330 3.9295 99999999 0
460 9.6114 5.2388 3.9253 99999999 0
510 9.6114 5.2388 3.9253 99999999 0
510 9.7794 5.3450 3.9225 99999999 0
560 9.7794 5.3450 3.9225 99999999 0
560 9.9473 5.4513 3.9212 99999999 0
610 9.9473 5.4513 3.9212 99999999 0
610 10.1153 5.5570 3.9204 99999999 0
660 10.1153 5.5570 3.9204 99999999 0
660 10.8562 6.0246 4.2687 99999999 0
710 10.8562 6.0246 4.2687 99999999 0
710 10.9883 6.1493 4.3275 99999999 0
760 10.9883 6.1493 4.3275 99999999 0
760 11.0953 6.2262 4.3842 99999999 0
809.5 11.0953 6.2262 4.3842 99999999 0
809.5 11.1790 6.2611 4.4384 99999999 0
859 11.1790 6.2611 4.4384 99999999 0
859 11.2646 6.2981 4.4906 99999999 0
908.5 11.2646 6.2981 4.4906 99999999 0
908.5 11.3481 6.3341 4.5408 99999999 0
958 11.3481 6.3341 4.5408 99999999 0
958 11.4299 6.3689 4.5790 99999999 0
1007.5 11.4299 6.3689 4.5790 99999999 0
1007.5 11.5097 6.4021 4.6062 99999999 0
1057 11.5097 6.4021 4.6062 99999999 0
1057 11.5878 6.4348 4.6333 99999999 0
1106.5 11.5878 6.4348 4.6333 99999999 0
1106.5 11.6641 6.4668 4.6601 99999999 0
1156 11.6641 6.4668 4.6601 99999999 0
1156 11.7393 6.4976 4.6868 99999999 0
1205.5 11.7393 6.4976 4.6868 99999999 0
1205.5 11.8128 6.5281 4.7134 99999999 0
1255 11.8128 6.5281 4.7134 99999999 0
